,model_name,year
0,Tri Glide Ultra,2015 - 2016
1,Tri Glide Ultra,2014 - 2015
2,Freewheeler,2014 - 2015
3,Tri Glide Ultra Classic,2014 - 2015
4,Tri Glide Ultra,2013 - 2014
5,Tri Glide Ultra Classic,2013 - 2014
6,Tri Glide Ultra Classic,2012 - 2013
7,Tri Glide Ultra Classic,2011 - 2012
8,Street Glide Trike,2010 - 2011
9,Tri Glide Ultra Classic,2010 - 2011
10,Tri Glide Ultra Classic,2009 - 2010
11,Street Glide Trike,2009 - 2010
12,Tri Glide Ultra Classic,2008 - 2009
