,model_name,year
0,STREET 500,2018 - Present
1,STREET ROD,2018
2,STREET 750,2017 - Present
3,STREET 750,2015 - 2016
4,Street 750,2015 - 2016
5,Street 750,2014 - 2015
6,Street 500,2014 - 2015
